cagrLucrosCincoAnos,cagrReceitasCincoAnos,divLiquidaEbit,divLiquidaEbitida,divLiquidaPl,dy,evEbit,evEbitida,giroAtivos,liqCorrente,lpa,mBruta,mEbit,mEbitda,maxCiquentaDuaSemana,maxMes,minCiquentaDuaSemana,minMes,mliquida,pAtivoCircLiq,pCapGiro,pEbit,pEbitida,passivoAtivo,pativo,pegRatio,pl,plAtivo,psr,pvp,roa,roe,roic,somaDyDozeMeses,ticker,tipoAtivo,valorAtual,valorizacaoAtivoDozeMeses,valorizacaoBaseDiaAnterior,valorizacaoMesAtual,vpa
"8,39%","11,98%",-,-,-,"3,71","7,93","6,66","0,14",-,"0,54","72,18%","8,81%","10,48%","6,23","R$ 4,94","3,88","R$ 4,77","7,76%","-0,10",-,"7,93","6,66","0,85","0,10","-0,46","9,00","0,15","0,70","0,68","1,11%","7,52%",-%,"R$ 0,1786",BMGB4,PN,"4,82","1,69%","1,05%","-2,43%","7,12"
"12,08%","-9,42%",-,-,-,"4,26","4,16","3,91","0,21","1,71","2,88","66,23%","10,12%","10,77%","20,27","R$ 18,56","10,81","R$ 18,11","6,76%","-0,17","0,45","4,22","3,97","0,91","0,09","0,19","6,32","0,09","0,43","0,97","1,41%","15,29%",-%,"R$ 0,7761",BMEB3,ON,"18,21","18,02%","-0,05%","-1,89%","18,85"
-%,"-10,40%","-2,38","-2,16","-0,63","0,35","13,30","12,06","0,66","3,21","8,58","27,94%","28,87%","31,83%",-,"R$ 33,46",-,"R$ 33,46","32,81%","-15,18","14,65","32,00","29,03","0,29","6,06","0,07","28,17","0,71","9,24","8,49","21,51%","30,14%","24,18%","R$ 0,8374",SOND3,ON,"241,80",-%,"0,00%",-%,"28,48"
-%,"-10,40%","-2,38","-2,16","-0,63","1,92","13,30","12,06","0,66","3,21","8,58","27,94%","28,87%","31,83%","49,00","R$ 48,05","31,09","R$ 48,05","32,81%","-3,02","2,91","6,36","5,77","0,29","1,20","0,01","5,60","0,71","1,84","1,69","21,51%","30,14%","24,18%","R$ 0,9211",SOND6,PNB,"48,05","50,11%","6,78%","0,00%","28,48"
"12,08%","-9,42%",-,-,-,"4,88","4,16","3,91","0,21","1,71","2,88","66,23%","10,12%","10,77%","18,94","R$ 17,65","9,04","R$ 17,40","6,76%","-0,17","0,43","4,05","3,81","0,91","0,09","0,18","6,07","0,09","0,41","0,93","1,41%","15,29%",-%,"R$ 0,8537",BMEB4,PN,"17,49","65,00%","0,52%","-0,91%","18,85"
-%,"-10,40%","-2,38","-2,16","-0,63","1,75","13,30","12,06","0,66","3,21","8,58","27,94%","28,87%","31,83%","72,94","R$ 52,55","36,01","R$ 48,90","32,81%","-3,30","3,18","6,96","6,31","0,29","1,32","0,02","6,12","0,71","2,01","1,85","21,51%","30,14%","24,18%","R$ 0,9211",SOND5,PNA,"52,55","45,93%","1,04%","7,46%","28,48"
-%,"7,96%","1,68","0,99","0,24",-,"14,20","8,39","0,18","0,42","1,33","53,20%","39,33%","66,54%","18,37","R$ 18,23","16,00","R$ 18,01","36,04%","-1,00","-5,47","12,52","7,40","0,51","0,88","0,02","13,66","0,49","4,92","1,81","6,46%","13,27%","7,73%","R$ 0,0000",CPRE3,ON,"18,23","7,68%","1,22%","1,22%","10,05"
"6,86%","-7,18%",-,-,-,"6,82","7,91",-,"0,07","2,55","0,53","68,16%","12,20%",-%,"7,04","R$ 6,49","5,35","R$ 6,31","8,81%","-0,08","0,80","8,70",-,"0,89","0,07","-0,49","12,05","0,11","1,06","0,65","0,58%","5,41%",-%,"R$ 0,4345",CRIV4,PN,"6,37","0,63%","-0,47%","-0,31%","9,77"
"42,36%","50,58%","6,92","3,66","5,71",-,"12,09","6,40","0,15","2,64","0,28","34,71%","29,67%","56,07%","23,08","R$ 23,08","15,29","R$ 20,32","1,85%","-0,31","1,49","5,17","2,74","0,71","0,23","-2,42","82,76","0,05","1,53","4,26","0,28%","5,15%","5,46%","R$ 0,0000",RLOG3,ON,"23,08","43,89%","3,41%","13,58%","5,41"
"6,86%","-7,18%",-,-,-,-,"7,91",-,"0,07","2,55","0,53","68,16%","12,20%",-%,"7,47","R$ 5,36","4,29","R$ 5,18","8,81%","-0,07","0,67","7,31",-,"0,89","0,06","-0,41","10,12","0,11","0,89","0,55","0,58%","5,41%",-%,"R$ 0,0000",CRIV3,ON,"5,35","9,86%","0,00%","3,28%","9,77"
-%,-%,"0,14",-,"-0,77",-,"0,14",-,"0,00","21,06","0,00",-%,-%,-%,-,R$ -,-,R$ -,-%,"0,00","0,00","0,00",-,"0,04","0,00","0,00","0,00","0,96",-,"0,00","-512,78%","-531,63%","-539,83%","R$ 0,0000",CMSA4,PN,"0,00",-%,"0,00%",-%,"0,00"
"-8,01%","-12,49%","-0,62",-,"-0,02","6,09","18,87",-,"0,00","2,32","0,40","94,85%","34.974,23%",-%,"9,95","R$ 9,00","7,63","R$ 8,95","35.003,09%","-0,75","59,92","22,34",-,"0,01","0,73","-1,32","22,32","0,99","7.813,47","0,74","3,27%","3,30%","3,30%","R$ 0,5453",RPAD5,PNA,"8,95","10,90%","0,00%","-0,56%","12,14"
-%,"5,83%","-61,90","5,13","0,46","0,94","-181,97","15,08","0,37","1,19","-0,82","17,80%","-0,98%","11,85%","13,32","R$ 9,40","8,39","R$ 8,85","-10,49%","-0,56","11,85","-120,07","9,95","0,52","0,43","0,03","-11,24","0,48","1,18","0,90","-3,83%","-7,96%","-1,41%","R$ 0,0873",AALR3,ON,"9,26","-13,21%","-1,17%","4,63%","10,34"
-%,"24,40%","7,56",-,"8,63","0,06","7,56",-,"0,30","2,20","-16,99","37,74%","27,71%",-%,-,"R$ 53,45",-,"R$ 52,97","-9,65%","-0,11","0,93","1,09",-,"0,93","0,09","-0,01","-3,12","0,07","0,30","1,24","-2,89%","-39,77%","1,90%","R$ 0,0299",NEMO5,PNA,"52,97",-%,"0,00%",-%,"42,74"
"-28,28%","-29,67%","-510,44","142,32",-,-,"-572,65","159,67","0,03","1,38","0,54","33,65%","-3,93%","14,10%","6,14","R$ 4,60","2,25","R$ 4,38","31,82%","-0,14","0,67","-65,92","18,38","1,48","0,08","-0,08","8,15","-0,48","2,59","-0,17","0,98%","-2,03%","-1,17%","R$ 0,0000",RNEW3,ON,"4,38","35,60%","-2,67%","-3,95%","-26,55"
"-8,01%","-12,49%","-0,62",-,"-0,02",-,"18,87",-,"0,00","2,32","0,40","94,85%","34.974,23%",-%,"7,10","R$ 5,60","5,01","R$ 5,50","35.003,09%","-0,46","37,16","13,85",-,"0,01","0,45","-0,82","13,84","0,99","4.845,22","0,46","3,27%","3,30%","3,30%","R$ 0,0000",RPAD6,PNB,"5,55","-13,95%","-0,18%","0,00%","12,14"
"-28,28%","-29,67%","-510,44","142,32",-,-,"-572,65","159,67","0,03","1,38","1,61","33,65%","-3,93%","14,10%","18,76","R$ 13,00","5,54","R$ 12,40","31,82%","-0,13","0,63","-62,21","17,34","1,48","0,08","-0,08","7,69","-0,48","2,45","-0,16","0,98%","-2,03%","-1,17%","R$ 0,0000",RNEW11,,"12,40","58,16%","-0,64%","-3,73%","-79,65"
-%,-%,"0,00",-,-,-,"-259,41",-,"0,00","0,00","-0,19",-%,-%,-%,"67,50","R$ 45,46","26,00","R$ 45,46",-%,"-54,04","-8.354,59","-247,18",-,"8,43","54,04","-57,22","-245,72","-7,43",-,"-7,27","-21,99%","-2,96%","2,94%","R$ 0,0000",MAPT4,PN,"45,46","37,76%","-9,08%","0,00%","-6,25"
"-8,01%","-12,49%","-0,62",-,"-0,02",-,"18,87",-,"0,00","2,32","0,40","94,85%","34.974,23%",-%,"9,70","R$ 7,35","4,89","R$ 6,60","35.003,09%","-0,57","45,86","17,10",-,"0,01","0,56","-1,01","17,08","0,99","5.980,14","0,56","3,27%","3,30%","3,30%","R$ 0,0000",RPAD3,ON,"6,85","33,01%","-2,14%","3,79%","12,14"
-%,"7,67%","5,81","5,12",-,-,"7,49","6,59","0,75","1,75","12,97","40,29%","22,07%","25,09%","38,06","R$ 27,99","9,55","R$ 25,00","21,18%","-0,79","1,24","1,92","1,69","1,38","0,32","0,00","2,00","-0,38","0,42","-0,84","15,83%","-42,05%","17,69%","R$ 0,0000",CTKA3,ON,"26,00","160,00%","4,00%","-4,06%","-30,85"
-%,"-4,76%","-3,15","-10,18","0,21",-,"-4,90","-15,82","0,59","2,22","-48,70","17,94%","-6,16%","-1,91%",-,"R$ 113,46",-,"R$ 103,61","-5,09%","-0,12","0,25","-1,76","-5,68","0,45","0,06","0,01","-2,13","0,55","0,11","0,12","-3,00%","-5,43%","-5,07%","R$ 0,0000",CATA3,ON,"103,61",-%,"0,00%",-%,"897,16"
-%,-%,"0,00",-,"0,00",-,"0,00",-,"0,00","0,00","0,00",-%,-%,-%,-,R$ -,-,R$ -,-%,"0,00","0,00","0,00",-,"0,05","0,00","0,00","0,00","0,95",-,"0,00","-0,90%","-0,95%","-2,42%","R$ 0,0000",FTRT3B,,"0,00",-%,"0,00%",-%,"0,01"
"29,19%","32,68%","2,09","2,00","0,77","2,72","4,35","4,17","0,27","1,78","1,07","56,04%","54,04%","56,39%","10,20","R$ 8,89","7,90","R$ 8,41","15,34%","-0,40","4,15","2,24","2,15","0,60","0,33","1,36","7,90","0,40","1,21","0,83","4,17%","10,53%","14,02%","R$ 0,2300",ALUP3,ON,"8,47","-13,84%","-0,35%","-3,42%","10,17"
"12,94%","9,71%","3,19","2,60","1,12","12,38","8,39","6,84","0,61","1,52","2,03","22,91%","16,75%","20,54%","16,41","R$ 15,09","12,67","R$ 13,34","12,24%","-0,70","7,27","5,42","4,42","0,71","0,55","0,29","7,42","0,29","0,91","1,91","7,41%","25,73%","13,09%","R$ 1,8681",CSRN6,PNB,"15,09","-8,04%","6,95%","13,12%","7,91"
"29,19%","32,68%","2,09","2,00","0,77","2,69","4,35","4,17","0,27","1,78","3,21","56,04%","54,04%","56,39%","27,68","R$ 26,56","21,65","R$ 25,50","15,34%","-0,41","4,18","2,26","2,17","0,60","0,33","1,37","7,97","0,40","1,22","0,84","4,17%","10,53%","14,02%","R$ 0,6900",ALUP11,,"25,62","11,29%","-0,43%","0,39%","30,52"
"1,60%","1,54%","5,28","3,19","0,93","5,77","14,58","8,80","0,34","1,45","1,56","51,66%","21,81%","36,13%","53,50","R$ 53,50","27,03","R$ 45,90","6,19%","-0,82","12,87","9,30","5,62","0,59","0,68","-11,27","32,79","0,41","2,03","1,65","2,08%","5,02%","5,43%","R$ 2,9557",WSON33,ON,"51,20","78,83%","-2,66%","11,55%","31,08"
"6,67%","7,01%","1,50","1,18","0,52","2,67","10,05","7,93","0,48","1,96","0,33","30,26%","19,90%","25,21%","11,69","R$ 10,48","10,40","R$ 10,48","12,23%","-3,18","9,51","19,81","15,63","0,72","1,89","0,61","32,22","0,28","3,94","6,86","5,87%","21,30%","12,17%","R$ 0,2800",EQPA6,PNB,"10,48","-10,35%","-1,87%","0,00%","1,53"
"19,66%","-0,28%","-1,65","-1,42","-0,83","3,21","10,08","8,68","1,30","1,16","0,47","20,20%","10,57%","12,27%","8,40","R$ 8,40","5,76","R$ 7,78","7,69%","-7,52","17,17","12,90","11,11","0,73","1,78","-0,30","17,72","0,27","1,36","6,55","10,03%","36,94%","31,87%","R$ 0,2697",WHRL4,PN,"8,40","26,13%","3,58%","7,28%","1,28"
"19,66%","-0,28%","-1,65","-1,42","-0,83","3,37","10,08","8,68","1,30","1,16","0,47","20,20%","10,57%","12,27%","7,65","R$ 7,28","5,77","R$ 6,94","7,69%","-6,52","14,88","11,18","9,63","0,73","1,54","-0,26","15,36","0,27","1,18","5,67","10,03%","36,94%","31,87%","R$ 0,2451",WHRL3,ON,"7,28","7,69%","2,54%","4,75%","1,28"
-%,"10,92%","6,23","3,19","0,79",-,"26,22","13,42","0,15","2,25","0,16","32,22%","27,97%","54,66%","24,31","R$ 21,01","17,53","R$ 20,16","4,27%","-1,11","6,40","19,99","10,23","0,67","0,85","-2,12","131,09","0,33","5,59","2,55","0,65%","1,94%","5,05%","R$ 0,0000",RAIL3,ON,"21,01","4,84%","1,99%","4,22%","8,25"
-%,"6,86%","18,49","9,64","0,88",-,"39,54","20,62","0,73","1,01","-0,03","15,55%","2,86%","5,48%",-,R$ -,-,R$ -,"-0,79%","0,00","0,00","0,00","0,00","0,56","0,00","0,00","0,00","0,44","0,00","0,00","-0,58%","-1,33%","1,39%","R$ 0,0304",CTSA8,PN,"0,00",-%,"0,00%",-%,"2,55"
-%,"24,40%","7,56",-,"8,63",-,"7,56",-,"0,30","2,20","-16,99","37,74%","27,71%",-%,-,R$ -,-,R$ -,"-9,65%","0,00","0,00","0,00",-,"0,93","0,00","0,00","0,00","0,07","0,00","0,00","-2,89%","-39,77%","1,90%","R$ 0,0272",NEMO3,ON,"0,00",-%,"0,00%",-%,"42,74"
"7,84%","17,66%","0,84","0,37","0,17","0,47","45,48","19,90","1,45","1,46","0,29","29,36%","4,56%","10,43%","26,97","R$ 24,96","20,46","R$ 24,15","2,41%","-6,01","18,42","44,64","19,53","0,68","2,96","-2,26","84,40","0,32","2,04","9,24","3,50%","10,95%","13,08%","R$ 0,1152",RADL3,ON,"24,75","14,74%","-0,84%","1,06%","2,68"
"10,41%","3,21%","1,00","0,63","0,36","1,01","14,61","9,11","0,46","1,43","1,38","81,59%","30,07%","48,21%","35,78","R$ 29,68","19,70","R$ 28,64","19,35%","-2,99","16,88","13,60","8,49","0,62","1,88","-126,74","21,14","0,38","4,09","4,92","8,90%","23,26%","14,89%","R$ 0,2932",QUAL3,ON,"29,18","10,32%","-0,44%","0,59%","5,93"
"8,50%","14,12%","0,76","0,50","0,21","1,40","14,23","9,35","0,76","1,57","0,97","27,11%","13,40%","20,40%","28,92","R$ 20,89","15,51","R$ 20,50","8,47%","-2,37","8,93","13,47","8,85","0,63","1,37","-1,07","21,32","0,37","1,81","3,67","6,43%","17,23%","14,10%","R$ 0,2890",PARD3,ON,"20,60","-0,24%","-1,39%","-1,06%","5,61"
-%,"10,22%","-4,70","-0,35","-0,07",-,"-4,70","-0,35","0,30","0,69","-0,83","11,19%","2,86%","37,93%",-,R$ -,-,R$ -,"-4,23%","0,00","0,00","0,00","0,00","0,42","0,00","0,00","0,00","0,58","0,00","0,00","-1,28%","-2,21%","0,59%","R$ 0,0000",VSPT3,ON,"0,00",-%,"0,00%",-%,"37,72"
"-51,59%","4,31%","-3,77","-3,50","-0,15",-,"-3,77","-3,50","0,06","6,36","2,76","63,41%","22,35%","24,02%",-,R$ -,-,R$ -,"10,99%","0,00","0,00","0,00","0,00","0,66","0,00","0,00","0,00","0,34","0,00","0,00","0,67%","1,95%","3,94%","R$ 0,0000",LHER3,ON,"0,00",-%,"0,00%",-%,"141,54"
-%,"10,22%","-4,70","-0,35","-0,07",-,"-4,70","-0,35","0,30","0,69","-0,83","11,19%","2,86%","37,93%",-,R$ -,-,R$ -,"-4,23%","0,00","0,00","0,00","0,00","0,42","0,00","0,00","0,00","0,58","0,00","0,00","-1,28%","-2,21%","0,59%","R$ 0,0000",VSPT4,PN,"0,00",-%,"0,00%",-%,"37,72"
-%,"8,49%","-1,61","-1,59","-0,21",-,"0,88","0,87","0,76","3,59","4,34","26,63%","13,52%","13,65%",-,R$ -,-,R$ -,"7,02%","0,00","0,00","0,00","0,00","0,21","0,00","0,00","0,00","0,79","0,00","0,00","5,32%","6,72%","8,94%","R$ 0,3603",TKNO3,ON,"0,00",-%,"0,00%",-%,"64,60"
"-0,15%","19,22%","-4,32","-2,89","-0,18",-,"18,37","12,29","0,07","4,37","0,64","66,20%","40,15%","59,99%","31,30","R$ 27,60","21,28","R$ 26,39","21,20%","-0,80","5,09","22,69","15,19","0,30","0,67","0,06","42,98","0,70","9,11","0,95","1,55%","2,22%","3,37%","R$ 0,0000",ALSO3,ON,"27,34","2,24%","1,90%","0,15%","28,66"
"17,95%","7,98%","1,83",-,"0,50","5,79","8,05",-,"1,47","2,17","1,20","23,45%","8,68%",-%,"13,66","R$ 10,64","7,66","R$ 10,05","6,27%","-1,81","2,63","6,22",-,"0,53","0,79","0,22","8,61","0,47","0,54","1,70","9,23%","19,73%","13,28%","R$ 0,5979",CAML3,ON,"10,33","34,86%","-1,71%","1,97%","6,08"
-%,"11,33%","0,07","0,06",-,-,"0,85","0,78","0,82","0,45","-9,79","37,28%","32,26%","35,05%",-,R$ -,-,R$ -,"-2,92%","0,00","0,00","0,00","0,00","1,03","0,00","0,00","0,00","-0,03","0,00","0,00","-2,41%","-69,78%","1.247,87%","R$ 0,0000",RSUL3,ON,"0,00",-%,"0,00%",-%,"-14,03"
-%,"7,67%","5,81","5,12",-,-,"7,49","6,59","0,75","1,75","12,97","40,29%","22,07%","25,09%","27,00","R$ 21,80","7,29","R$ 19,56","21,18%","-0,60","0,94","1,46","1,28","1,38","0,24","0,00","1,52","-0,38","0,32","-0,64","15,83%","-42,05%","17,69%","R$ 0,0000",CTKA4,PN,"19,69","99,90%","-6,24%","-0,96%","-30,85"
"-2,54%","-3,00%",-,-,-,"2,55","565,17",-,"0,06","11,43","1,70","-2,98%","0,53%",-%,"27,75","R$ 26,10","16,55","R$ 25,20","20,72%","-0,21","1,46","599,47",-,"0,90","0,18","-0,70","15,33","0,10","3,18","1,77","1,21%","11,51%",-%,"R$ 0,6648",BBDC4,PN,"26,10","35,87%","1,16%","1,28%","14,79"
-%,-%,"175,57",-,"2,09",-,"360,09",-,"0,24","0,25","-0,88","25,38%","1,26%",-%,"10,47","R$ 8,15","7,15","R$ 7,57","-26,33%","-0,61","-2,49","184,52",-,"0,75","0,56","-0,03","-8,84","0,25","2,33","2,20","-6,34%","-24,89%","0,30%","R$ 0,0000",ALPK3,ON,"7,80","-18,32%","0,78%","-4,29%","3,55"
"-13,58%","-3,59%","-1,64","-1,65","-0,15",-,"74,87","75,41","0,70","2,10","0,24","52,34%","8,15%","8,09%","43,40","R$ 38,27","22,15","R$ 36,05","4,17%","-10,51","16,00","81,79","82,39","0,37","4,66","-3,28","160,02","0,63","6,67","7,43","2,91%","4,64%","8,16%","R$ 0,0000",ALPA4,PN,"38,15","43,53%","0,21%","5,83%","5,13"
"83,45%","51,17%","4,41","2,58","0,82","1,38","21,58","12,64","0,39","1,34","0,76","24,87%","13,89%","23,72%","30,54","R$ 26,55","10,53","R$ 24,55","6,90%","-1,37","11,00","17,17","10,06","0,71","0,92","2,46","34,59","0,29","2,39","3,19","2,67%","9,21%","5,88%","R$ 0,3620",LCAM3,ON,"26,22","89,18%","0,19%","6,80%","8,23"
-%,"1,88%","4,21","8,96","-14,09",-,"-11,33","-24,11","0,70","0,72","-2,80","26,77%","-5,66%","-2,66%","25,50","R$ 25,50","16,82","R$ 20,00","-11,20%","-0,77","-5,34","-14,14","-30,11","0,99","0,56","0,16","-7,14","0,01","0,80","47,33","-7,88%","-662,49%","-334,66%","R$ 0,0000",AHEB5,PNA,"20,01","0,30%","0,05%","-21,53%","0,42"
-%,"1,88%","4,21","8,96","-14,09",-,"-11,33","-24,11","0,70","0,72","-2,80","26,77%","-5,66%","-2,66%","32,20","R$ 21,90","19,00","R$ 21,90","-11,20%","-0,85","-5,85","-15,48","-32,95","0,99","0,62","0,18","-7,82","0,01","0,88","51,80","-7,88%","-662,49%","-334,66%","R$ 0,0000",AHEB3,ON,"21,90","-4,78%","0,00%","0,00%","0,42"
"-2,54%","-3,00%",-,-,-,"2,61","565,17",-,"0,06","11,43","1,70","-2,98%","0,53%",-%,"24,63","R$ 23,12","15,30","R$ 22,16","20,72%","-0,19","1,29","531,02",-,"0,90","0,16","-0,62","13,58","0,10","2,81","1,56","1,21%","11,51%",-%,"R$ 0,6044",BBDC3,ON,"23,12","29,02%","1,40%","1,94%","14,79"
"8,17%","5,56%","-1,59",-,"-0,16","12,92","28,03",-,"0,17","7,91","0,30","64,85%","53,36%",-%,"10,45","R$ 9,00","5,59","R$ 8,53","52,07%","-3,72","11,80","29,62",-,"0,10","2,73","-1,17","30,35","0,90","15,80","3,03","9,00%","9,98%","9,27%","R$ 1,1624",AFLT3,ON,"9,00","41,96%","0,22%","5,51%","2,97"
-%,"1,88%","4,21","8,96","-14,09",-,"-11,33","-24,11","0,70","0,72","-2,80","26,77%","-5,66%","-2,66%","31,00","R$ 27,00","19,61","R$ 27,00","-11,20%","-1,04","-7,21","-19,08","-40,63","0,99","0,76","0,22","-9,64","0,01","1,08","63,87","-7,88%","-662,49%","-334,66%","R$ 0,0000",AHEB6,PNB,"27,00","-12,90%","17,34%","0,00%","0,42"
-%,-%,"-7,26",-,"-0,66",-,"7,64",-,"0,21","4,77","0,44","41,67%","33,06%",-%,"9,36","R$ 8,25","6,48","R$ 7,30","26,01%","-5,99","1,60","14,90",-,"0,23","1,05","0,17","18,93","0,77","4,93","1,36","5,52%","7,19%","8,20%","R$ 0,0000",LAVV3,ON,"8,25","-8,33%","6,73%","9,13%","6,06"
-%,-%,"0,14",-,"-0,77",-,"0,14",-,"0,00","21,06","0,00",-%,-%,-%,-,R$ -,-,R$ -,-%,"0,00","0,00","0,00",-,"0,04","0,00","0,00","0,00","0,96",-,"0,00","-512,78%","-531,63%","-539,83%","R$ 0,0000",CMSA3,ON,"0,00",-%,"0,00%",-%,"0,00"
-%,-%,"0,01",-,"0,00",-,"-3,11",-,"0,00","1,42","-29,13",-%,-%,-%,"77,99","R$ 77,99","77,00","R$ 77,00",-%,"-0,52","349,18","-3,16",-,"0,44","0,52","-0,01","-2,64","0,56",-,"0,93","-19,57%","-35,04%","-29,55%","R$ 0,0000",ECPR3,ON,"77,00","-1,27%","0,00%","-1,27%","83,14"
"-7,94%","13,49%","2,79","1,76","0,44","2,54","15,67","9,92","0,39","1,61","2,38","30,80%","22,06%","34,85%","27,94","R$ 27,89","16,98","R$ 22,93","24,23%","-1,63","9,45","12,88","8,16","0,45","1,12","1,15","11,73","0,55","2,84","2,04","9,55%","17,40%","9,06%","R$ 0,7097",AGRO3,ON,"27,89","64,25%","5,25%","21,63%","13,66"
-%,"-75,29%","0,64","0,70","-1,02",-,"-13,21","-14,45","0,00","5,23","-1,14","-121,18%","-18.852,94%","-17.234,12%",-,"R$ 40,10",-,"R$ 40,10","-7.435,88%","-16,70","25,42","-13,85","-15,15","0,58","9,22","1,36","-35,12","0,42","2.611,73","22,04","-26,24%","-62,76%","-174,07%","R$ 0,0000",ITEC3,ON,"40,10",-%,"0,00%",-%,"1,82"
"19,73%","-0,29%","0,70","0,38","0,17","2,01","14,27","7,73","0,85","1,16","1,12","29,72%","15,51%","28,63%","23,60","R$ 23,60","8,35","R$ 18,29","10,24%","-2,54","43,93","13,57","7,35","0,46","1,78","0,28","20,55","0,54","2,10","3,29","8,67%","16,01%","12,28%","R$ 0,4634",CARD3,ON,"23,00","145,99%","-2,54%","25,75%","6,99"
"35,54%","10,79%","5,25","3,53","1,89","1,83","11,08","7,45","0,45","1,10","0,81","17,99%","13,29%","19,77%","19,19","R$ 15,76","10,41","R$ 15,01","7,23%","-0,86","22,97","10,14","6,82","0,84","0,60","0,08","18,65","0,16","1,35","3,65","3,22%","19,55%","7,85%","R$ 0,2760",ENGI3,ON,"15,10","24,59%","0,60%","-3,02%","4,14"
"35,54%","10,79%","5,25","3,53","1,89","3,18","11,08","7,45","0,45","1,10","4,05","17,99%","13,29%","19,77%","51,11","R$ 44,59","38,14","R$ 42,94","7,23%","-0,49","13,21","5,83","3,92","0,84","0,35","0,05","10,73","0,16","0,78","2,10","3,22%","19,55%","7,85%","R$ 1,3800",ENGI11,,"43,42","0,16%","0,93%","-1,81%","20,71"
"48,99%","16,39%","4,61","3,22","0,65",-,"23,48","16,40","0,20","2,75","0,80","46,19%","34,43%","49,30%","18,61","R$ 18,06","8,27","R$ 16,21","31,07%","-1,59","11,31","18,88","13,18","0,51","1,30","0,31","20,92","0,49","6,50","2,66","6,21%","12,71%","6,19%","R$ 0,0000",ENEV3,ON,"16,66","81,68%","0,97%","2,78%","6,27"
"7,78%","2,59%","1,85","0,89","0,41","1,25","12,60","6,03","0,32","0,88","1,27","30,16%","26,71%","55,84%","32,00","R$ 29,62","17,61","R$ 29,62","11,94%","-1,09","-37,80","10,46","5,00","0,61","0,90","-1,61","23,41","0,39","2,79","2,34","3,87%","9,98%","10,23%","R$ 0,3703",MRSA6B,PNB,"29,62","1,20%","-1,27%","0,00%","12,68"
"-3,40%",-%,"-16,03",-,"-0,33",-,-,-,"0,00","13,21","11.800,56",-%,-%,-%,-,R$ -,-,R$ -,-%,"0,00","0,00","0,00",-,"0,04","0,00","0,00","0,00","0,96",-,"0,00","4,40%","4,60%","-0,28%","R$ 0,0000",BFRE12,,"0,00",-%,"0,00%",-%,"256.545,33"
"-3,97%","3,78%","0,17","0,16","0,02","2,32","11,68","10,80","0,08","2,15","0,84","31,50%","131,36%","142,02%","12,53","R$ 11,13","9,37","R$ 10,95","120,00%","-1,44","21,70","12,07","11,16","0,16","1,28","-0,42","13,21","0,84","15,85","1,54","9,72%","11,64%","11,36%","R$ 0,2570",ITSA3,ON,"11,08","7,05%","0,00%","0,73%","7,21"
"69,04%","14,81%","-1,65","-1,54","-0,28","1,45","10,42","9,71","1,74","4,44","1,49","15,57%","7,83%","8,40%","31,91","R$ 29,99","12,51","R$ 27,68","5,49%","-3,35","5,79","14,08","13,12","0,19","1,92","2,17","20,07","0,81","1,10","2,36","9,55%","11,77%","11,61%","R$ 0,4348",WLMM4,PN,"29,99","98,22%","2,56%","5,56%","12,69"
-%,-%,"-307,10",-,"-4,38",-,"14.680,13",-,"2,51","0,77","0,11","45,12%","0,03%",-%,"12,18","R$ 9,39","8,40","R$ 8,46","4,77%","-26,50","-48,81","14.987,23",-,"0,96","9,49","0,00","79,41","0,04","3,79","213,71","11,95%","269,11%","-101,70%","R$ 0,0000",WEST3,ON,"8,46","-28,91%","-1,63%","-6,00%","0,04"
-%,-%,"0,00",-,-,-,"-259,41",-,"0,00","0,00","-0,19",-%,-%,-%,"50,01","R$ 50,01","50,01","R$ 50,01",-%,"-59,45","-9.190,79","-271,92",-,"8,43","59,45","-62,95","-270,32","-7,43",-,"-8,00","-21,99%","-2,96%","2,94%","R$ 0,0000",MAPT3,ON,"50,01","0,00%","0,00%","0,00%","-6,25"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-%,"-13,15%","-3,37","-18,28",-,-,"-30,07","-163,04","0,22","0,35","-1,44","-52,25%","-85,23%","-15,72%",-,"R$ 30,22",-,"R$ 30,22","-108,51%","-5,60","-29,15","-26,70","-144,76","1,01","5,06","0,01","-20,97","-0,01","22,76","-893,87","-24,15%","-4.262,46%","-29,25%","R$ 0,0000",CNSY3,,"30,22",-%,"0,00%",-%,"-0,03"
"0,85%","6,89%","5,00","4,10","0,59","2,91","17,73","14,54","0,37","2,37","1,14","28,20%","10,74%","13,09%","20,93","R$ 18,81","12,61","R$ 17,74","8,28%","-0,96","1,84","12,73","10,44","0,67","0,50","-0,81","16,51","0,33","1,37","1,51","3,05%","9,12%","5,37%","R$ 0,5472",MRVE3,ON,"18,81","41,53%","1,73%","6,03%","12,50"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0,88%","1,21%","5,25","3,73","0,60","0,54","23,80","16,93","0,10","2,33","1,15","59,26%","53,14%","74,71%","40,10","R$ 38,03","27,13","R$ 35,99","29,94%","-1,32","6,44","18,55","13,20","0,54","0,97","-0,95","32,94","0,46","9,86","2,12","2,95%","6,42%","4,39%","R$ 0,2055",IGTA3,ON,"37,72","15,71%","0,03%","1,73%","17,83"
